Year,Date,Site,Total Nethours
2010,8/10/10,COEA,45
2010,8/17/10,COEA,50
2010,8/25/10,COEA,50
2010,9/1/10,COEA,50
2010,9/15/10,COEA,50
2010,9/22/10,COEA,50
2010,9/26/10,COEA,50
2011,9/1/11,BLCA,50
2011,9/8/11,BLCA,50
2011,9/15/11,BLCA,48.5
2011,9/22/11,BLCA,50
2011,9/29/11,BLCA,50
2011,10/14/11,BLCA,50
2012,8/24/12,POMA,50
2012,8/25/12,BLCA,47.5
2012,8/30/12,BLCA,50
2012,8/31/12,POMA,40
2012,9/7/12,POMA,50
2012,9/8/12,BLCA,50
2012,9/12/12,POMA,50
2012,9/14/12,BLCA,40.25
2012,9/20/12,POMA,50
2012,9/21/12,BLCA,50
2012,9/22/12,COEA,45
2012,9/24/12,POMA,46
2012,9/26/12,COEA,45
2012,9/27/12,BLCA,50
2012,10/2/12,POMA,50
2012,10/3/12,COEA,50
2012,10/4/12,BLCA,49
2012,10/9/12,POMA,50
2012,10/11/12,COEA,30
2012,10/12/12,BLCA,35
2013,6/7/13,COCA,50
2013,6/19/13,COCA,50
2013,7/1/13,COCA,50
2013,7/10/13,COCA,50
2013,7/19/13,COCA,50
2013,7/26/13,COCA,50
2013,8/6/13,BLCA,50
2013,8/9/13,COCA,50
2013,8/13/13,BLCA,50
2013,8/15/13,POMA,50
2013,8/16/13,COCA,50
2013,8/21/13,COCA,49
2013,8/22/13,BLCA,45
2013,8/28/13,COCA,40
2013,8/30/13,BLCA,39
2013,9/4/13,COCA,45
2013,9/6/13,BLCA,43
2013,9/9/13,COCA,42
2013,9/10/13,BLCA,50
2013,9/11/13,COEA,50
2013,9/18/13,COEA,50
2013,9/19/13,COCA,30
2013,9/20/13,BLCA,26
2013,9/23/13,BLCA,50
2013,9/27/13,BLCA,50
2013,10/1/13,POMA,24.25
2013,10/2/13,COEA,50
2013,10/3/13,COCA,45
2013,10/8/13,COCA,50
2013,10/10/13,COEA,50
2014,5/27/14,COCA,50
2014,6/10/14,COCA,50
2014,8/12/14,BLCA,50
2014,8/14/14,COEA,43.5
2014,8/15/14,POMA,48.5
2014,8/18/14,BLCA,50
2014,8/20/14,COEA,50
2014,8/21/14,POMA,50
2014,8/28/14,BLCA,50
2014,9/5/14,BLCA,40
2014,9/12/14,BLCA,47.5
2014,9/16/14,COEA,31.75
2014,9/19/14,POMA,41.5
2014,9/23/14,BLCA,43.5
2014,9/29/14,BLCA,50
2014,9/30/14,POMA,50
2014,10/2/14,COEA,50
2014,10/9/14,COEA,50
2014,10/11/14,COCA,50
2014,10/13/14,COEA,50
2015,8/11/15,BLCA,46
2015,8/19/15,BLCA,45
2015,8/26/15,BLCA,35
2015,9/1/15,BLCA,50
2015,9/10/15,BLCA,50
2015,9/21/15,BLCA,50
2015,10/7/15,BLCA,40
2015,8/13/15,COEA,37
2015,8/20/15,COEA,48
2015,9/2/15,COEA,40
2015,9/17/15,COEA,50
2015,9/25/15,COEA,37.5
2015,9/29/15,COEA,45
2015,10/6/15,COEA,49.5
2015,10/15/15,COEA,50
2015,5/26/15,POMA,50
2015,9/9/15,POMA,50
2015,9/18/15,POMA,50
2015,9/28/15,POMA,45
2016,8/9/16,BLCA,45
2016,8/17/16,BLCA,50
2016,8/23/16,BLCA,46.5
2016,9/1/16,BLCA,40
2016,9/28/16,BLCA,50
2016,10/5/16,BLCA,45
2016,10/13/16,BLCA,32.5
2016,5/31/16,POMA,40
2016,8/10/16,POMA,50
2016,8/19/16,POMA,50
2016,8/24/16,POMA,50
2016,9/6/16,POMA,50
2016,9/16/16,POMA,50
2016,9/22/16,POMA,36
2016,9/29/16,POMA,30.5
2016,10/6/16,POMA,45
2016,10/12/16,POMA,45
2017,8/15/17,BLCA,45
2017,9/1/17,BLCA,45
2017,9/8/17,BLCA,45
2017,9/19/17,BLCA,21.5
2017,9/28/17,BLCA,30
2017,10/3/17,BLCA,50
2017,10/12/17,BLCA,50
2018,6/13/18,BLCA,45
2018,8/8/18,BLCA,40
2018,8/16/18,BLCA,50
2018,8/22/18,BLCA,50
2018,9/19/18,BLCA,45
2018,9/27/18,BLCA,50
2018,10/12/18,BLCA,48.5
2019,6/3/19,COCA,21
2019,9/26/19,BLCA,40
2019,10/9/19,BLCA,45